site_no,date_time,height_ft,discharge_cfs,station_nm,lat,long,coord_datum
08165300,2025-07-05T13:00:00Z,2.71,232,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T13:15:00Z,2.7,228,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T13:30:00Z,2.69,225,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T13:45:00Z,2.68,222,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T14:00:00Z,2.67,218,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T14:15:00Z,2.66,215,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T14:30:00Z,2.65,212,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T14:45:00Z,2.64,208,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T15:00:00Z,2.63,205,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T15:15:00Z,2.62,202,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T15:30:00Z,2.62,202,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T15:45:00Z,2.61,199,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T16:00:00Z,2.6,196,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T16:15:00Z,2.59,193,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T16:30:00Z,2.58,190,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T16:45:00Z,2.58,190,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T17:00:00Z,2.57,187,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T17:15:00Z,2.56,184,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T17:30:00Z,2.56,184,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T17:45:00Z,2.55,181,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T18:00:00Z,2.54,178,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T18:15:00Z,2.54,178,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T18:30:00Z,2.53,175,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T18:45:00Z,2.53,175,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
